#{"t_start": 1702839456.6788507, "env_id": "None"}
r,l,t
19.232949,1001,17651.083735
17.611009,1001,17688.440147
7.294478,390,17703.494447
4.349536,254,17713.408717
4.749763,266,17723.859678
12.661934,665,17748.895267
19.334476,1001,17786.399593
19.634719,1001,17823.86894
17.238505,887,17857.117726
5.957817,322,17869.637491
14.391665,742,17897.816207
19.496238,1001,17935.284554
19.671005,1001,17972.822861
19.444959,1001,18010.136298
18.373173,1001,18047.480717
1.54226,99,18051.793225
0.521753,50,18054.321764
18.745659,1001,18091.824091
12.525088,1001,18129.393381
12.751824,1001,18167.348447
19.294837,1001,18204.830786
19.442523,1001,18242.813837
19.561997,1001,18280.343148
18.833784,1001,18317.887452
19.463556,1001,18355.358797
19.57002,1001,18392.874118
19.636191,1001,18430.570334
13.095235,1001,18468.3515
19.215517,1001,18505.896804
18.122598,1001,18543.464093
16.669303,1001,18581.365191
14.747252,1001,18620.073821
11.316471,802,18650.326339
13.424355,1001,18687.898627
9.473685,1001,18725.527881
7.295519,1001,18763.104166
3.025898,404,18778.951008
3.999773,352,18792.553147
2.513301,145,18798.548683
3.991009,579,18820.654908
5.510785,984,18857.807438
5.45131,302,18869.615614
4.701183,283,18880.711202
0.27016,31,18882.516159
4.55489,369,18896.73794
4.345719,309,18908.924897
6.902693,699,18935.550511
4.486683,353,18949.206619
2.792859,183,18956.647319
6.021004,368,18970.900083
3.165367,197,18978.810512
2.94727,170,18985.741506
3.304762,182,18993.14023
3.054146,193,19000.949717
2.745284,194,19008.735218
3.719116,270,19019.404053
2.651413,156,19025.810351
7.338437,525,19045.81579
2.077404,130,19051.277633
7.734716,471,19069.303216
2.821,167,19076.149261
4.796248,368,19090.464011
2.346506,136,19096.137732
1.870626,108,19100.809033
6.891678,445,19117.953125
2.901655,180,19125.295882
2.629385,146,19131.348385
1.780485,107,19135.98173
4.255583,231,19145.211396
3.345031,185,19152.703067
3.215305,180,19160.010844
2.926411,162,19166.668996
8.653765,453,19184.233845
3.197809,184,19191.703529
3.043745,169,19198.632525
10.651139,548,19219.49247
19.741827,1001,19257.067756
14.280918,1001,19294.725993
9.865455,510,19314.187747
4.325853,259,19324.461809
11.295456,585,19346.756925
4.747247,263,19357.153917
18.989428,1001,19394.831143
19.449722,1001,19432.387439
19.385537,1001,19470.057671
19.322725,1001,19507.685926
7.881515,426,19524.096442
18.99235,1001,19561.773669
9.959112,526,19581.851066
19.353417,1001,19619.475324
12.35861,688,19645.670187
6.90681,399,19661.142245
19.437102,1001,19699.078322
13.338839,814,19729.962474
16.69118,1001,19767.614716
19.388531,1001,19805.544796
19.420077,1001,19843.196038
19.090472,1001,19880.836286
19.440572,1001,19918.520509
19.579051,1001,19956.164755
19.410081,1001,19993.850976
19.545218,1001,20031.511213
19.535523,1001,20069.313367
19.261098,1001,20107.027573
19.530574,1001,20144.726787
19.071331,1001,20182.428
19.624857,1001,20220.292118
19.39679,1001,20258.097271
19.70109,1001,20295.845457
19.627863,1001,20333.492701
19.667633,1001,20371.171926
19.710442,1001,20409.02705
19.5837,1001,20446.754248
19.68554,1001,20484.488442
19.682497,1001,20522.219637
19.693144,1001,20560.290637
19.645524,1001,20598.364634
19.693309,1001,20636.052854
19.68655,1001,20673.745072
19.569082,1001,20711.695141
19.695885,1001,20749.484303
19.714874,1001,20787.156533
19.716364,1001,20824.913713
19.690991,1001,20862.582945
19.703066,1001,20900.311143
19.665091,1001,20938.051332
19.692328,1001,20975.995405
19.67667,1001,21013.755584
19.683209,1001,21051.321874
19.654774,1001,21089.094046
19.64126,1001,21126.677327
19.595737,1001,21164.563434
19.585152,1001,21202.434548
19.60117,1001,21240.056807
19.335684,1001,21277.815986
19.297601,1001,21315.536188
19.597669,1001,21353.397308
19.546692,1001,21391.158487
19.549394,1001,21428.793737
19.581079,1001,21466.545921
19.561099,1001,21504.468006
19.628971,1001,21542.231183
19.550035,1001,21580.087307
19.52636,1001,21617.8215
19.645634,1001,21655.513719
19.708016,1001,21693.227924
19.573455,1001,21731.021084
19.592376,1001,21768.676323
19.58809,1001,21806.448494
19.637958,1001,21844.470523
19.658757,1001,21882.343635
19.689055,1001,21920.096819
19.653299,1001,21957.832012
19.660307,1001,21995.847044
19.698213,1001,22033.592231
18.998416,1001,22071.381393
19.687705,1001,22109.167557
19.637776,1001,22147.053663
19.644904,1001,22185.277574
19.6124,1001,22223.035754
19.706134,1001,22260.861894
19.630885,1001,22298.69703
19.62196,1001,22336.597128
19.64362,1001,22374.266358
19.572836,1001,22412.369339
19.377772,1001,22450.231459
19.669778,1001,22488.076589
19.608179,1001,22525.986681
19.285096,1001,22564.976149
19.664089,1001,22602.979188
19.261591,1001,22641.353012
19.477368,1001,22679.369043
19.674916,1001,22717.318112
19.605123,1001,22755.265184
19.596538,1001,22793.373161
19.540374,1001,22831.350215
19.664644,1001,22869.296286
19.600788,1001,22907.236361
19.549954,1001,22945.113472
19.672623,1001,22983.18547
19.003189,1001,23021.25647
19.50267,1001,23059.236521
7.331884,392,23074.530683
19.202973,1001,23112.496743
19.406037,1001,23150.549753
19.578338,1001,23188.428863
19.54661,1001,23226.300977
19.576507,1001,23264.384969
19.4802,1001,23302.617874
18.750036,1001,23340.635904
10.356769,545,23361.594792
18.630216,1001,23399.71976
18.800512,1001,23437.602868
19.610057,1001,23475.627893
19.588676,1001,23513.641926
13.767928,826,23545.153715
19.524034,1001,23583.159752
19.643775,1001,23621.223755
19.32168,1001,23659.176822
12.82563,685,23685.404665
17.590841,1001,23723.454677
17.844471,1001,23761.62162
17.89134,1001,23799.608668
19.170804,1001,23837.686663
19.15971,1001,23875.70869
19.177391,1001,23913.795681
17.170582,1001,23951.855686
19.165264,1001,23990.413404
18.64626,1001,24028.536373
16.506827,1001,24066.578389
18.029551,1001,24104.891248
6.701772,358,24118.951124
18.955617,1001,24157.699732
19.63455,1001,24196.069557
19.571051,1001,24234.170539
18.701551,1001,24272.171579
5.178507,283,24283.437069
1.681631,103,24287.937468
19.537509,1001,24326.087422
11.827739,612,24349.646807
19.152676,1001,24387.7278
19.61396,1001,24425.808794
19.686723,1001,24463.903779
19.637286,1001,24501.925806
19.633757,1001,24540.027787
19.626801,1001,24578.142762
18.841619,1001,24616.623524
19.719943,1001,24654.737499
19.702178,1001,24692.871461
19.612739,1001,24731.006423
19.656359,1001,24769.224338
19.542193,1001,24807.385285
19.648247,1001,24845.419305
19.355121,1001,24883.53128
19.530671,1001,24921.634261
18.510602,1001,24959.812213
17.762633,1001,24997.914194
18.501647,1001,25036.082137
19.475359,1001,25074.217099
4.764878,262,25084.658066
18.387138,1001,25122.667101
18.273509,1001,25160.750093
18.044704,1001,25198.987996
18.171322,1001,25237.154939
17.954952,1001,25275.435817
19.1631,1001,25313.587769
18.315623,1001,25351.827671
18.841882,1001,25389.98562
18.741843,1001,25428.233517
16.869182,1001,25466.43644
18.97876,1001,25504.5754
19.746969,1001,25542.818299
19.134857,1001,25581.151147
19.317353,1001,25619.422031
14.627413,1001,25657.789859
0.068646,1001,25696.336583
7.188681,1001,25734.576485
3.82283,511,25754.503969
2.834792,416,25770.824537
1.541102,285,25782.3109
1.128916,555,25803.938401
